Subject,Condition,Profi_CAT,CorrectAnswer,Trial,word1,word2,word3,word4,word4.ACC,word4.CRESP,word4.RESP,word4.RT,Age,TotalSocialSkill,TotalAttentionToDetail,TotalAttentionSwitching,TotalCommunication,Totalimagination,TotalSystemizing,TotalExtraversion,TotalAgreeableness,TotalConscientiousness,TotalNeuroticism,TotalOpeness,Proficiency,criticalWord,Category,item,item_check,accuracy
1,T1,1,0,2,Some ,butterflies,are,insects,0,m,TRUE,1202,22,4,5,9,4,4,74,20,36,32,39,31,low,butterflies,insects,6,butterflies_6_6,1
1,T2,1,1,3,Some ,birds,are,eagles,0,c,FALSE,1175,22,4,5,9,4,4,74,20,36,32,39,31,low,eagles,birds,17,eagles_17_17,0
1,T3,1,0,4,Some ,pineapples,are,flowers,1,m,FALSE,1036,22,4,5,9,4,4,74,20,36,32,39,31,low,pineapples,flowers,40,pineapples_40_40,1
1,T4,1,1,5,All,snakes,are,reptiles,1,c,TRUE,1232,22,4,5,9,4,4,74,20,36,32,39,31,low,snakes,reptiles,48,snakes_48_48,1
1,T5,1,0,6,All,fish,are,sharks,0,m,TRUE,2609,22,4,5,9,4,4,74,20,36,32,39,31,low,sharks,fish,47,sharks_47_47,0
1,T6,1,0,7,All,lavender,are,fruits,1,m,FALSE,727,22,4,5,9,4,4,74,20,36,32,39,31,low,lavender,fruits,28,lavender_28_28,1
1,T1,1,0,8,Some ,mosquitoes,are,insects,0,m,TRUE,850,22,4,5,9,4,4,74,20,36,32,39,31,low,mosquitoes,insects,32,mosquitoes_32_32,1
1,T2,1,1,9,Some ,birds,are,owls,1,c,TRUE,1536,22,4,5,9,4,4,74,20,36,32,39,31,low,owls,birds,35,owls_35_35,1
1,T3,1,0,10,Some ,strawberries,are,flowers,1,m,FALSE,678,22,4,5,9,4,4,74,20,36,32,39,31,low,strawberries,flowers,51,strawberries_51_51,1
1,T4,1,1,11,All,dinosaurs,are,reptiles,1,c,TRUE,2321,22,4,5,9,4,4,74,20,36,32,39,31,low,dinosaurs,reptiles,13,dinosaurs_13_13,1
1,T5,1,0,12,All,fish,are,salmons,0,m,TRUE,1207,22,4,5,9,4,4,74,20,36,32,39,31,low,salmons,fish,45,salmons_45_45,0
1,T6,1,0,13,All,lilies,are,fruits,1,m,FALSE,761,22,4,5,9,4,4,74,20,36,32,39,31,low,lilies,fruits,29,lilies_29_29,1
1,T1,1,0,14,Some ,cockroaches,are,insects,0,m,TRUE,762,22,4,5,9,4,4,74,20,36,32,39,31,low,cockroaches,insects,9,cockroaches_9_9,1
1,T2,1,1,15,Some ,birds,are,penguins,0,c,FALSE,2499,22,4,5,9,4,4,74,20,36,32,39,31,low,penguins,birds,39,penguins_39_39,0
1,T3,1,0,16,Some ,watermelons,are,flowers,1,m,FALSE,864,22,4,5,9,4,4,74,20,36,32,39,31,low,watermelons,flowers,55,watermelons_55_55,1
1,T4,1,1,17,All,chameleons,are,reptiles,1,c,TRUE,1062,22,4,5,9,4,4,74,20,36,32,39,31,low,chameleons,reptiles,8,chameleons_8_8,1
1,T5,1,0,18,All,fish,are,anchovies,0,m,TRUE,1446,22,4,5,9,4,4,74,20,36,32,39,31,low,anchovies,fish,2,anchovies_2_2,0
1,T6,1,0,19,All,hibiscuses,are,fruits,1,m,FALSE,575,22,4,5,9,4,4,74,20,36,32,39,31,low,hibiscuses,fruits,24,hibiscuses_24_24,1
1,T1,1,0,21,Some ,grasshoppers,are,insects,0,m,TRUE,855,22,4,5,9,4,4,74,20,36,32,39,31,low,grasshoppers,insects,22,grasshoppers_22_22,1
1,T2,1,1,22,Some ,birds,are,parrots,1,c,TRUE,833,22,4,5,9,4,4,74,20,36,32,39,31,low,parrots,birds,37,parrots_37_37,1
1,T3,1,0,23,Some ,papayas,are,flowers,1,m,FALSE,701,22,4,5,9,4,4,74,20,36,32,39,31,low,papayas,flowers,36,papayas_36_36,1
1,T4,1,1,24,All,tortoises,are,reptiles,1,c,TRUE,934,22,4,5,9,4,4,74,20,36,32,39,31,low,tortoises,reptiles,52,tortoises_52_52,1
1,T5,1,0,25,All,fish,are,eels,0,m,TRUE,924,22,4,5,9,4,4,74,20,36,32,39,31,low,eels,fish,18,eels_18_18,0
1,T6,1,0,26,All,roses,are,fruits,1,m,FALSE,851,22,4,5,9,4,4,74,20,36,32,39,31,low,roses,fruits,44,roses_44_44,1
1,T1,1,0,27,Some ,ants,are,insects,0,m,TRUE,1567,22,4,5,9,4,4,74,20,36,32,39,31,low,ants,insects,3,ants_3_3,1
1,T2,1,1,28,Some ,birds,are,sparrows,1,c,TRUE,741,22,4,5,9,4,4,74,20,36,32,39,31,low,sparrows,birds,49,sparrows_49_49,1
1,T3,1,0,29,Some ,grapes,are,flowers,0,m,TRUE,622,22,4,5,9,4,4,74,20,36,32,39,31,low,grapes,flowers,21,grapes_21_21,0
1,T4,1,1,30,All,lizards,are,reptiles,1,c,TRUE,2076,22,4,5,9,4,4,74,20,36,32,39,31,low,lizards,reptiles,30,lizards_30_30,1
1,T5,1,0,31,All,fish,are,guppies,0,m,TRUE,1636,22,4,5,9,4,4,74,20,36,32,39,31,low,guppies,fish,23,guppies_23_23,0
1,T6,1,0,32,All,orchids,are,fruits,1,m,FALSE,973,22,4,5,9,4,4,74,20,36,32,39,31,low,orchids,fruits,33,orchids_33_33,1
1,T1,1,0,33,Some ,caterpillars,are,insects,0,m,TRUE,2257,22,4,5,9,4,4,74,20,36,32,39,31,low,caterpillars,insects,7,caterpillars_7_7,1
1,T2,1,1,34,Some ,birds,are,ostriches,1,c,TRUE,2826,22,4,5,9,4,4,74,20,36,32,39,31,low,ostriches,birds,34,ostriches_34_34,1
1,T3,1,0,35,Some ,durians,are,flowers,1,m,FALSE,723,22,4,5,9,4,4,74,20,36,32,39,31,low,durians,flowers,16,durians_16_16,1
1,T4,1,1,36,All,crocodiles,are,reptiles,1,c,TRUE,1017,22,4,5,9,4,4,74,20,36,32,39,31,low,crocodiles,reptiles,11,crocodiles_11_11,1
